,Date,Tweets
65,2022-03-13,"@united This is unacceptable. Boarded my flight and this is the pocket in front of me. During a pandemic you would think your personnel would thoroughly clean everywhere on your aircrafts, not leave filth &amp; garbage in the pockets. Never flying United again
#unitedairlines #united https://t.co/TkEg7YxkA2"
66,2022-03-13,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
67,2022-03-13,"@united : Customer service 101, when there is a huge queue in support phone number line, you ask for a callback instead of making them wait for hours! It's a super frustrating experience when flight is canceled and we have to wait for more than an hour on phone #UnitedAirlines"
68,2022-03-13,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
69,2022-03-13,RT @true_BroncosFan: Been sitting in this plane for nearly an hour because of catering delay! Catering on a 2 hour flight? Itâ€™s just fuckinâ€¦
70,2022-03-13,@Christy4Freedom United Airlines is welcoming their unjabbed employees back after letting them go.  I hope most of those employees are in a financial position to tell #UnitedAirlines  to F*ck off.
71,2022-03-13,RT @true_BroncosFan: Been sitting in this plane for nearly an hour because of catering delay! Catering on a 2 hour flight? Itâ€™s just fuckinâ€¦
72,2022-03-13,"Been sitting in this plane for nearly an hour because of catering delay! Catering on a 2 hour flight? Itâ€™s just fucking pretzels and water, who fucking cares??? #UnitedAirlines please explain this???"
73,2022-03-13,"RT @birrlad: Arriving @Airport_FRA on a sunny morning @united 787-9 N24979.
#avgeek #aviation #airline #airtravel #boeing #dreamliner #unitâ€¦"
74,2022-03-13,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
75,2022-03-13,"RT @birrlad: Arriving @Airport_FRA on a sunny morning @united 787-9 N24979.
#avgeek #aviation #airline #airtravel #boeing #dreamliner #unitâ€¦"
76,2022-03-13,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
77,2022-03-13,Good bye Colorado âœˆï¸ ðŸ” thanks #UnitedAirlines https://t.co/joR9SsjHc1
78,2022-03-13,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
79,2022-03-12,"Do yâ€™all agree? âœˆï¸ 

Cheers, #ChampagneJesse â€¢ #travelnoir e #delta #americanair #unitedairlines #southwestairlines #travel #travelblogger @ Hartsfield-Jackson Atlanta International Airport https://t.co/XuxrOjDyDX"
80,2022-03-12,"RT @RedMtRetro: #1970s #Commercials Vol. 45 is live!! Another block from 8/4/77, this one has #ads for #pillsbury #kentuckyfriedchicken #miâ€¦"
81,2022-03-12,"#1970s #Commercials Vol. 45 is live!! Another block from 8/4/77, this one has #ads for #pillsbury #kentuckyfriedchicken #milkplus6 #stapuff #tomorrow #listerine #unitedairlines #pepperidgefarm #nestea #kfc #revlon #tomsnyder https://t.co/4LELZEigEF"
82,2022-03-12,@united Represents the #USA in that itâ€™s very disappointing. Can anyone be more disappointed than getting on a #UnitedAirlines flight only to feel like you have arrived back in the 90â€™s. Why oh why canâ€™t they just catch up with the rest of the worlds airlines?? #lame
83,2022-03-12,RT @virtualUA: Thank you to our pilots for joining us in our special FSC on Discord! ðŸ‘We appreciate our pilots patience with technology chaâ€¦
